VideoTitle,VideoDate,nLikes,nComments,nViews,Duration(seconds),VideoAge(Days),Like/ViewsRatio,Comments/ViewsRatio
Which Celebrity Punches The Hardest?,2025-09-19T16:00:03Z,3023379,8937,141515944,47,61,0.021,0.0001
"Answer The Call, Win $10,000",2025-09-16T17:00:04Z,6954978,16282,496642344,39,64,0.014,0.0
"Survive 30 Days Chained To Your Ex, Win $250,000",2025-09-13T16:00:01Z,3560349,55430,169102281,2224,67,0.021,0.0003
I Arrested IShowSpeed,2025-09-12T17:00:01Z,2058978,5966,66409977,35,68,0.031,0.0001
I Raced IShowSpeed,2025-09-01T20:45:41Z,7096326,8890,364109380,47,79,0.019,0.0
"$1 vs $1,000,000,000 Nuclear Bunker!",2025-08-30T16:00:11Z,2677012,34674,126596550,1038,81,0.021,0.0003
1 Subscriber = 1 Penny Donated,2025-08-29T16:00:10Z,22571074,28222,573128057,18,82,0.039,0.0
"Pick The Wrong Tube, Get Slimed",2025-08-27T16:00:02Z,2351866,7410,103071714,36,84,0.023,0.0001
Reaction Time Challenge,2025-08-19T16:00:02Z,1828042,11040,110840789,29,92,0.016,0.0001
"Survive 100 Days In Prison, Win $500,000",2025-08-16T19:00:02Z,2919460,40667,126836936,2376,95,0.023,0.0003
Every YouTube Play Button I Have,2025-08-15T16:00:01Z,2181589,13749,89027342,15,96,0.025,0.0002
1 Subscriber = 1 Second In The Arctic,2025-08-08T16:00:02Z,2439984,10826,74277089,17,103,0.033,0.0001
Guess What Hit You,2025-08-05T16:00:01Z,1199249,5589,67636025,32,106,0.018,0.0001
$1  = One Year of Clean Water,2025-08-02T16:00:02Z,3718936,15203,122253826,32,109,0.03,0.0001
"2,000,000 People Get Clean Water For The First Time!",2025-08-01T16:00:01Z,2331639,45510,82981657,620,110,0.028,0.0005
"Don’t Turn Around, Win $10k",2025-07-31T16:00:01Z,6058598,8061,318144485,31,111,0.019,0.0
Subscribe To Explode The TNT,2025-07-29T16:00:01Z,3785234,11137,196604597,19,113,0.019,0.0001
"Find This Briefcase, Win $10,000",2025-07-25T16:00:02Z,4983947,14023,184063779,67,117,0.027,0.0001
Jet Engine vs Human for $10k,2025-07-20T16:00:01Z,2080476,6373,129565746,24,122,0.016,0.0
"Survive 100 Days Trapped In A Private Jet, Keep It",2025-07-19T16:00:01Z,3406587,45843,134574603,1983,123,0.025,0.0003
I Met Neymar,2025-07-11T16:15:07Z,1685107,14975,98990629,10,131,0.017,0.0002
I Raced A Cheetah,2025-07-06T16:00:01Z,3011289,13467,129667232,20,136,0.023,0.0001
World's Fastest Car Vs Cheetah!,2025-07-05T16:00:01Z,3345432,45356,189858661,1237,137,0.018,0.0002
"You Lose, You Get Shot",2025-06-30T16:00:08Z,1643900,6452,98289292,36,142,0.017,0.0001
"If You Spill, You Lose!",2025-06-25T17:00:08Z,3546602,7307,384065690,19,147,0.009,0.0
"Lose 100 LBs, Win $250,000!",2025-06-21T16:00:01Z,6460642,105435,211346590,2210,151,0.031,0.0005
"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,2309477,12566,94552644,23,153,0.024,0.0001
Feastables vs Reese’s Taste Test with @gordonramsay,2025-06-10T16:00:02Z,5995503,14509,327993638,33,162,0.018,0.0
"$1 vs $500,000 Date",2025-06-07T16:00:00Z,3374353,59904,149896085,1042,165,0.023,0.0004
Can I Teach a Penguin To Subscribe?,2025-05-31T16:10:27Z,7343342,17873,556539413,9,172,0.013,0.0
Extreme Helmet Game,2025-05-28T16:00:19Z,3357956,6996,178458596,32,175,0.019,0.0
"Beat Neymar, Win $500,000",2025-05-24T16:00:01Z,3515053,80491,154746258,1673,179,0.023,0.0005
"Grab The Rolex, Keep It!",2025-05-21T15:59:50Z,2943656,8960,193379236,23,182,0.015,0.0
Slippery vs Sticky Stairs,2025-05-16T16:00:01Z,7927520,23615,719745589,36,187,0.011,0.0
I Survived 100 Hours In An Ancient Temple,2025-05-10T16:00:01Z,2928767,77604,120999409,946,193,0.024,0.0006
"Subscribe to Win $50,000",2025-05-07T16:00:01Z,4202458,150230,86133492,15,196,0.049,0.0017
"Find This Key, Win $10,000",2025-05-05T16:00:00Z,1581497,6786,51303443,39,198,0.031,0.0001
World’s Fastest Robbers,2025-05-02T16:00:00Z,5284324,12921,242260198,32,201,0.022,0.0001
Would You Go On Vacation With A Stranger?,2025-04-29T16:00:00Z,8055322,23024,270195735,63,204,0.03,0.0001
"Would You Risk Drowning for $500,000?",2025-04-26T16:00:00Z,3165613,43003,193116077,1546,207,0.016,0.0002
Extreme Helmet Game,2025-04-25T16:15:00Z,2255557,5108,209520350,23,208,0.011,0.0
"$10,000 Human Shuffleboard",2025-04-22T16:30:14Z,6008083,4807,496969055,40,211,0.012,0.0
"Drift This Car, Win $10,000",2025-04-16T17:00:15Z,6353447,10363,474870610,20,217,0.013,0.0
Click This Video To Feed 1 Person,2025-04-12T16:00:01Z,4234828,73522,73829491,629,221,0.057,0.001
You Can Stop Child Labor,2025-04-11T16:00:01Z,3600416,21072,90377902,58,222,0.04,0.0002
How Fast Can I Go?,2025-04-05T16:00:12Z,2784449,8608,174647208,18,228,0.016,0.0
Baseball Tic Tac Toe vs MLB Pro,2025-03-27T16:00:00Z,1547285,7476,66441707,27,237,0.023,0.0001
Could You Win This Obstacle Course?,2025-03-25T16:15:01Z,1751160,10206,93071148,34,239,0.019,0.0001
"Find Your Dog, Win $10,000",2025-03-23T16:00:01Z,11317739,10096,463797105,36,241,0.024,0.0
I Survived The 5 Deadliest Places On Earth,2025-03-22T16:00:00Z,3174187,54535,161856957,803,242,0.02,0.0003
This Is How The Pyramids Were Built,2025-03-18T16:00:00Z,8047686,19613,316545715,13,246,0.025,0.0001
I Crashed One Of The Most Expensive Cars In The World,2025-03-14T16:00:00Z,2500143,6936,106048104,16,250,0.024,0.0001
Last One To Fall Wins,2025-03-08T18:05:23Z,3918466,8176,134989096,30,256,0.029,0.0001
"Last to Leave Their Circle Wins $500,000",2025-03-01T17:00:01Z,3061405,83444,191369519,2318,263,0.016,0.0004
"Highest Away From Me Wins $10,000",2025-02-28T17:00:00Z,11160966,11354,515411123,50,264,0.022,0.0
"Find The Human, Win $10,000",2025-02-24T17:00:02Z,7221123,8369,320248957,41,268,0.023,0.0
"Find This Stranger, Win $10,000",2025-02-19T18:00:00Z,15839207,11904,602062729,61,273,0.026,0.0
"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,7564805,9209,478459928,25,278,0.016,0.0
I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,5333214,100660,221079291,1303,284,0.024,0.0005
Every Minute One Person Is Eliminated,2025-01-25T17:00:01Z,3053058,74536,147521309,2086,298,0.021,0.0005
"Last Person Hanging Wins $10,000",2025-01-21T17:00:03Z,12606139,14417,532507050,43,302,0.024,0.0
Subscribe For An iPhone,2025-01-17T17:00:00Z,28140833,202528,284865151,17,306,0.099,0.0007
"I Helped 2,000 People Walk Again",2025-01-11T17:00:02Z,2967162,55036,126952504,931,312,0.023,0.0004
This obstacle course is WILD,2025-01-10T17:00:00Z,3855894,5383,205473402,32,313,0.019,0.0
How Many People To Stop Ronaldo?,2024-12-27T19:00:00Z,11734647,27070,514226122,21,327,0.023,0.0001
"Last Person Standing Wins $10,000",2024-12-22T17:00:01Z,13072009,9761,624183847,48,332,0.021,0.0
"2,000 People Fight For $5,000,000",2024-12-19T17:00:00Z,4585108,50507,187008433,1485,335,0.025,0.0003
Bring Me Back Snow From The North Pole,2024-12-10T17:00:00Z,18119833,14728,662883488,55,344,0.027,0.0
I Got T-Series To Subscribe To Me,2024-12-09T17:00:01Z,8095409,14676,191990848,31,345,0.042,0.0001
Ronaldo Teaches Me How To SIUU,2024-12-01T17:00:00Z,9193150,34558,332232438,15,353,0.028,0.0001
"Beat Ronaldo, Win $1,000,000",2024-11-30T17:00:00Z,8120594,117939,333443949,1365,354,0.024,0.0004
Confronting Ronaldo,2024-11-29T17:30:10Z,12510070,27821,238012674,21,355,0.053,0.0001
How Many Balloons To Make A Store Fly?,2024-11-18T19:00:00Z,10478527,11938,465401900,22,366,0.023,0.0
Restocking MrBeast Labs at Walmart,2024-11-18T17:00:00Z,6070419,2790,378775738,36,366,0.016,0.0
This Game Is Wild...,2024-11-12T17:00:00Z,13277000,8622,659217265,19,372,0.02,0.0
How Much Tape To Stop A Lamborghini?,2024-11-08T17:00:00Z,13855887,19950,734204173,15,376,0.019,0.0
